ID;Doi;Author;Title;Year;Type_of_study;Vegetation_type;Community_type;Country;Continent;GC_factor;C_specifics_detailed;GC_specifics_simple;Modulator;Modulator_specifics;Response_variable;Response_variable_specifics;Direction_interaction;direction_GC_factor;Notes
1;10.1016/j.soilbio.2010.09.032;Haugwity et al.;Long-term microbial control of nutrient availability and plant biomass in a subarctic-alpine heath after addition of carbon, fertilizer and fungicide;2011;Experimental;Heath;high altitude heath;Sweden;Europe;Nutrients;NPK;increase;Pathogen;fungicide;Productivity;above ground biomass;neutral;neutral;the fungicide by itself increased the biomass but the interaction and fertilicer did not
2;10.1111/ele.13537;Capelli et al.;Sick plants in grassland communities: a growth-defensetrade-off is the main driver of fungal pathogen abundance;2020;Experimental;Grassland;grassland;Swiss;Europe;Nutrients;;increase;Pathogen;fungicide;Productivity;above ground biomass;neutral;increase;
3;10.1111/1365-2745.14043;Yan et al.;Nitrogen addition and warming modulate the pathogen impact on plant biomass by shifting intraspecific functional traits and reducing species richness;2022;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Productivity;above ground biomass;mitigation;increase;fungicide increase biomass, so with the fungis its less meaning it mitigates
3;10.1111/1365-2745.14043;Yan et al.;Nitrogen addition and warming modulate the pathogen impact on plant biomass by shifting intraspecific functional traits and reducing species richness;2022;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Diversity;species richness;neutral;decrease;
3;10.1111/1365-2745.14043;Yan et al.;Nitrogen addition and warming modulate the pathogen impact on plant biomass by shifting intraspecific functional traits and reducing species richness;2022;Experimental;Grassland;alpine meadow;China;Asia;Nutrients;;increase;Pathogen;fungicide;Diversity;evenness;neutral;decrease;
3;10.1111/1365-2745.14043;Yan et al.;Nitrogen addition and warming modulate the pathogen impact on plant biomass by shifting intraspecific functional traits and reducing species richness;2022;Experimental;Grassland;alpine meadow;China;Asia;Temperature;warming;increase;Pathogen;fungicide;Productivity;above ground biomass;neutral;neutral;
3;10.1111/1365-2745.14043;Yan et al.;Nitrogen addition and warming modulate the pathogen impact on plant biomass by shifting intraspecific functional traits and reducing species richness;2022;Experimental;Grassland;alpine meadow;China;Asia;Temperature;warming;increase;Pathogen;fungicide;Diversity;species richness;neutral;neutral;
3;10.1111/1365-2745.14043;Yan et al.;Nitrogen addition and warming modulate the pathogen impact on plant biomass by shifting intraspecific functional traits and reducing species richness;2022;Experimental;Grassland;alpine meadow;China;Asia;Temperature;warming;increase;Pathogen;fungicide;Diversity;evenness;neutral;neutral;
5;10.1111/1365-2745.13396;Wilfahrt et al.;Initial richness, consumer pressure and soil resources jointly affect plant diversity and resource strategies during a successional field experiment;2020;Experimental;Grassland;herbaceous grassland;USA;North America;Nutrients;NPK;increase;pathogen;fungicide;Diversity;species richness;neutral;decrease;not sure if they report the trend or the results between the years, for diversity they compare between years
5;10.1111/1365-2745.13396;Wilfahrt et al.;Initial richness, consumer pressure and soil resources jointly affect plant diversity and resource strategies during a successional field experiment;2020;Experimental;Grassland;herbaceous grassland;USA;North America;Nutrients;NPK;increase;pathogen;fungicide;Diversity;evenness;neutral;decrease;not sure if they report the trend or the results between the years
