ID;Doi;Author;Title;Year;Type_of_study;Vegetation_type;Community_type;Greenhouse_community;Country;Continent;GC_factor;C_specifics_detailed;GC_specifics_simple;Modulator;Modulator_specifics;Response_variable;Response_variable_specifics;Direction_interaction;direction_GC_factor;Notes
1;10.1093/jpe /rtu039;Li et al.;Short-term responses of an alpine meadow community to removal of a dominant species along a fertilization gradient;2015;Experimental;Grassland;alpine meadow;;China;Asia;Nutrients;(NH4)2HPO4;increase;Competition;Dominant species removal;diversity;species richness;neutral;decrease;
1;10.1093/jpe /rtu039;Li et al.;Short-term responses of an alpine meadow community to removal of a dominant species along a fertilization gradient;2015;Experimental;Grassland;alpine meadow;;China;Asia;Nutrients;(NH4)2HPO4;increase;Competition;Dominant species removal;diversity;Shannon-Wiener;amplification;decrease;only significant in highest fert treatment
1;10.1093/jpe /rtu039;Li et al.;Short-term responses of an alpine meadow community to removal of a dominant species along a fertilization gradient;2015;Experimental;Grassland;alpine meadow;;China;Asia;Nutrients;(NH4)2HPO4;increase;Competition;Dominant species removal;diversity;Simpon's dominance index;amplification;increase;
1;10.1093/jpe /rtu039;Li et al.;Short-term responses of an alpine meadow community to removal of a dominant species along a fertilization gradient;2015;Experimental;Grassland;alpine meadow;;China;Asia;Nutrients;(NH4)2HPO4;increase;Competition;Dominant species removal;productivity;above ground biomass;amplification;increase;
2;10.1016/j.scitotenv.2018.02.287;Li et al.;Effect of loss of plant functional group and simulated nitrogen deposition on subalpine ecosystem properties on the Tibetan Plateau;2018;Experimental;Grassland;alpine meadow;;China;Asia;Nutrients;increased nitrogen deposition;increase;Competition;functional group removal;diversity;Shannon diversity;neutral;neutral;
2;10.1016/j.scitotenv.2018.02.287;Li et al.;Effect of loss of plant functional group and simulated nitrogen deposition on subalpine ecosystem properties on the Tibetan Plateau;2018;Experimental;Grassland;alpine meadow;;China;Asia;Nutrients;increased nitrogen deposition;increase;Competition;functional group removal;productivity;above ground biomass;neutral;neutral;
2;10.1016/j.scitotenv.2018.02.287;Li et al.;Effect of loss of plant functional group and simulated nitrogen deposition on subalpine ecosystem properties on the Tibetan Plateau;2018;Experimental;Grassland;alpine meadow;;China;Asia;Nutrients;increased nitrogen deposition;increase;Competition;functional group removal;diversity;species richness;neutral;neutral;
3;10.1111/j.1365-2745.2010.01654.x;Eskelinen;Resident functional composition mediates the impactsof nutrient enrichment and neighbour removal onplant immigration rates;2010;Experimental;Heath;heath;;Finland;Europe;Nutrients;NPK;increase;Competition;biomass removal;diversity;seedling richness;amplification;decrease;
4;10.1111/gcb.16383;Blumenthal et al.;Soil disturbance and invasion magnify CO2 effects on grassland productivity, reducing diversity;2022;Experimental;Grassland;mixed-grass prairie;;USA;North America;Temperature;warming;increase;Competition;disturbance;productivity;above ground biomass;neutral;neutral;multiple years
4;10.1111/gcb.16383;Blumenthal et al.;Soil disturbance and invasion magnify CO2 effects on grassland productivity, reducing diversity;2022;Experimental;Grassland;mixed-grass prairie;;USA;North America;Temperature;warming;increase;Competition;disturbance;diversity;species richness;neutral;decrease;multiple years
